spp,date,hatchdate,dph,staff,contaminant,treatment,group,targettempC,nomconclab,tank,fishID,nomconc,tl_mm,mass_g,Notes
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0010ug,I,15,0010ug,R1,,10,18.66,0.045,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0100ug,I,15,0100ug,R1,,100,17.37,0.0439,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0500ug,I,15,0500ug,R1,,500,18.04,0.0452,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0001ug,I,15,0001ug,R1,,1,18.95,0.0501,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-1000ug,I,15,1000ug,R1,,1000,18.63,0.0469,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0000ug,I,15,0000ug,R1,,0,17.3,0.0432,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0500ug,I,15,0500ug,R2,,500,19.38,0.0504,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0001ug,I,15,0001ug,R2,,1,19.06,0.0432,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-1000ug,I,15,1000ug,R2,,1000,18.41,0.0448,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0000ug,I,15,0000ug,R2,,0,18.11,0.046,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0010ug,I,15,0010ug,R2,,10,18.45,0.045,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0100ug,I,15,0100ug,R2,,100,18.12,0.0499,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0001ug,I,15,0001ug,R3,,1,17.84,0.0487,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0500ug,I,15,0500ug,R3,,500,17.56,0.0421,
GS,4/30/21,4/23/21,7,VL,fip,I-15C-0100ug,I,15,0100ug,R3,,100,18.99,0.0472,
